name,ind,sn_power,x_chp1,t,y_chp1,w1+w2,w3+w1+w2,w3,h1,h2,h1/h2,h3/h1,h3/h2,h3,x_chp2,y_chp2,x1,y1,ry1,x2,y2,ry2,x3,y3,ry3,r3,d3,s/n,rs/n,APD10,APD20,APD30,APD40,APD50,APD60,APD70,APD80,APD90,APD100,iap_sn
W8FebD3_10nM_Dofe_61_62_8000,218,14.085704877361254,816,657.2584,-15.587025189501727,0.0178,5382,1.0586,0.09842702518950174,0.029136786951764852,3.3781015508829086,0.5297313781408501,1.7894863900489462,0.05213988369993892,905,-7.857813981738577,848,0.2447205953549947,82.84,863,-0.08614259488835882,-29.16,6198,-0.1772413362697862,-59.9976976816775,3.4281912229497635e-05,5.020208328513279e-05,15.478185789095125,15.478185789095127,0.11783933333333334,0.23204366972477086,0.36492053987730066,0.514678730964467,0.6741970551378446,0.8373921397379912,0.9775999065420563,1.0858157687861272,1.163960925925926,1.2382666666666666,48.117119395353086
W8FebD3_10nM_Dofe_61_62_8000,219,14.307837143155279,781,660.6148000000001,4.369276488056061,0.0262,5097,0.9932,0.04359072351194394,0.028033067859724717,1.5549751361523654,1.2619419067954023,1.9622882883355561,0.05500896074725371,912,-2.317941861445105,796,0.1434313142760355,47.96,857,-0.08385767415137683,-28.04,5878,-0.17144439083694635,-57.326902608698816,3.657199722029251e-05,5.6523798548349476e-05,14.339477815202947,14.33947781520295,0.11855736842105266,0.23455801834862383,0.3684734545454546,0.5190046732673268,0.6789406250000001,0.845184177777778,0.9833632380952382,1.0916479545454547,1.1701377425742574,1.24496,48.018410768115984
W8FebD3_10nM_Dofe_61_62_8000,220,14.307837143155279,781,660.6148000000001,4.369276488056061,0.0262,5097,0.9932,0.04359072351194394,0.028033067859724717,1.5549751361523654,1.2619419067954023,1.9622882883355561,0.05500896074725371,912,-2.317941861445105,796,0.1434313142760355,47.96,857,-0.08385767415137683,-28.04,5878,-0.17144439083694635,-57.326902608698816,3.657199722029251e-05,5.6523798548349476e-05,14.339477815202947,14.33947781520295,0.11855736842105266,0.23455801834862383,0.3684734545454546,0.5190046732673268,0.6789406250000001,0.845184177777778,0.9833632380952382,1.0916479545454547,1.1701377425742574,1.24496,48.018410768115984
W8FebD3_10nM_Dofe_61_62_8000,221,13.522043279641771,828,663.9662000000001,-19.34150223938782,0.0192,5508,1.0824,0.10190150223938782,0.04540911294675773,2.244076037311443,0.5212727886919403,1.1697757740060946,0.05311848024422369,924,-9.066107275047502,861,0.2812712268141633,82.56,877,-0.1548081946031441,-45.44,6336,-0.21185483551935688,-62.18458751927119,6.947606406473846e-05,4.999856950698766e-05,14.91468206644933,14.914682066449325,0.11826142857142861,0.2358811428571429,0.3720649056603774,0.5198149743589744,0.6807305555555556,0.8428976363636365,0.984623188405797,1.090975414258189,1.1726838655462184,1.24652,48.074886534338155
W8FebD3_10nM_Dofe_61_62_8000,222,13.522043279641771,828,663.9662000000001,-19.34150223938782,0.0192,5508,1.0824,0.10190150223938782,0.04540911294675773,2.244076037311443,0.5212727886919403,1.1697757740060946,0.05311848024422369,924,-9.066107275047502,861,0.2812712268141633,82.56,877,-0.1548081946031441,-45.44,6336,-0.21185483551935688,-62.18458751927119,6.947606406473846e-05,4.999856950698766e-05,14.91468206644933,14.914682066449325,0.11826142857142861,0.2358811428571429,0.3720649056603774,0.5198149743589744,0.6807305555555556,0.8428976363636365,0.984623188405797,1.090975414258189,1.1726838655462184,1.24652,48.074886534338155
W8FebD3_10nM_Dofe_61_62_8000,223,14.319917247136884,857,667.3154000000001,69.94115201833009,0.0168,5154,1.014,0.0036188479816699156,0.03842167580540345,0.09418766635787859,15.645745045733795,1.4736362142880066,0.05661957288047583,941,-5.384575105268581,858,0.2503313127164528,73.56,875,-0.13081478603616706,-38.44,6011,-0.2110057063504165,-62.00414798574441,1.0865760589359539e-05,5.6961340926032026e-05,13.675259122313348,13.67525912231335,0.12154254545454546,0.23678769811320757,0.37128012500000007,0.5181282105263157,0.6778060185185185,0.839612602739726,0.9801934541062803,1.090920705882353,1.1734580841121496,1.2492,47.93138243063428
W8FebD3_10nM_Dofe_61_62_8000,224,14.319917247136884,857,667.3154000000001,69.94115201833009,0.0168,5154,1.014,0.0036188479816699156,0.03842167580540345,0.09418766635787859,15.645745045733795,1.4736362142880066,0.05661957288047583,941,-5.384575105268581,858,0.2503313127164528,73.56,875,-0.13081478603616706,-38.44,6011,-0.2110057063504165,-62.00414798574441,1.0865760589359539e-05,5.6961340926032026e-05,13.675259122313348,13.67525912231335,0.12154254545454546,0.23678769811320757,0.37128012500000007,0.5181282105263157,0.6778060185185185,0.839612602739726,0.9801934541062803,1.090920705882353,1.1734580841121496,1.2492,47.93138243063428
W8FebD3_10nM_Dofe_61_62_8000,225,14.117946599632358,826,670.6654,-15.582698273009314,0.0192,5550,1.0908,0.09578269827300932,0.03578034800806003,2.676963853214421,0.5502598479968384,1.4730257229627979,0.052705372992433136,922,-6.352336090246338,860,0.24811183337815618,80.2,888,-0.1107531625303989,-35.8,6376,-0.1827046942096933,-59.05770908267947,6.0438943192427955e-05,4.9220557520016e-05,14.784059745870023,14.784059745870026,0.12229730769230769,0.2380546019417476,0.37085056209150336,0.5176968750000001,0.6776869496855347,0.8412114545454545,0.984835693069307,1.0951043410852714,1.1785878431372547,1.2549333333333335,47.79074946532505
W8FebD3_10nM_Dofe_61_62_8000,226,14.117946599632358,826,670.6654,-15.582698273009314,0.0192,5550,1.0908,0.09578269827300932,0.03578034800806003,2.676963853214421,0.5502598479968384,1.4730257229627979,0.052705372992433136,922,-6.352336090246338,860,0.24811183337815618,80.2,888,-0.1107531625303989,-35.8,6376,-0.1827046942096933,-59.05770908267947,6.0438943192427955e-05,4.9220557520016e-05,14.784059745870023,14.784059745870026,0.12229730769230769,0.2380546019417476,0.37085056209150336,0.5176968750000001,0.6776869496855347,0.8412114545454545,0.984835693069307,1.0951043410852714,1.1785878431372547,1.2549333333333335,47.79074946532505
W8FebD3_10nM_Dofe_61_62_8000,227,14.834904466570455,844,674.0272,70.1525917456937,0.0124,5273,1.0422,0.009167408254306295,0.04065277467690383,0.2255051057932978,6.596822927627184,1.4876172521942208,0.06047576895892647,906,-8.166224657288884,845,0.26444443039677357,79.32,858,-0.1356227865423695,-40.68,6117,-0.22884509459328056,-68.64199361621536,3.687754975588657e-05,5.9162364467742594e-05,14.782704547507963,14.782704547507961,0.12126971698113216,0.23652230769230773,0.37018439473684217,0.5170448936170213,0.6793667874396135,0.8416583255813954,0.9840118999999998,1.0967705426356589,1.1807264851485149,1.2582799999999998,47.735846206819645
